Date,Open,High,Low,Close,Adj Close,Volume
2018-11-19,57.910000,58.299999,57.450001,57.700001,57.700001,74000
2018-11-20,57.209999,57.340000,56.500000,56.730000,56.730000,73300
2018-11-21,57.230000,58.150002,57.009998,58.060001,58.060001,63000
2018-11-23,57.160000,57.500000,57.139999,57.470001,57.470001,19800
2018-11-26,58.900002,59.209999,58.660000,59.090000,59.090000,66400
2018-11-27,58.509998,58.540001,57.000000,57.389999,57.389999,94800
2018-11-28,57.500000,58.270000,56.860001,58.099998,58.099998,91500
2018-11-29,57.810001,58.080002,57.279999,57.320000,57.320000,64000
2018-11-30,55.639999,56.630001,55.639999,56.459999,56.459999,115900
2018-12-03,59.299999,59.320000,58.509998,58.790001,58.790001,86300
2018-12-04,58.180000,58.240002,56.259998,56.540001,56.540001,88900
2018-12-06,54.180000,54.650002,53.310001,54.459999,54.459999,202500
2018-12-07,53.790001,54.220001,52.930000,53.000000,53.000000,93000
2018-12-10,52.209999,52.400002,51.279999,52.259998,52.259998,88300
2018-12-11,53.500000,53.500000,52.619999,53.070000,53.070000,60100
2018-12-12,53.529999,54.150002,53.500000,53.830002,53.830002,117100
2018-12-13,54.400002,54.470001,53.759998,53.930000,53.930000,52700
2018-12-14,53.689999,53.910000,53.169998,53.310001,53.310001,75700
2018-12-17,53.740002,53.939999,53.150002,53.299999,53.299999,200800
2018-12-18,54.310001,54.450001,53.470001,53.610001,53.610001,127600
2018-12-19,54.060001,54.450001,52.689999,53.169998,53.169998,160800
2018-12-20,53.169998,53.639999,52.619999,52.830002,52.830002,141000
2018-12-21,53.340000,53.669998,52.330002,52.500000,52.500000,119400
2018-12-24,52.889999,52.930000,51.500000,51.500000,51.500000,64900
2018-12-26,52.980000,53.410000,51.000000,53.410000,53.410000,146700
2018-12-27,52.020000,52.590000,51.169998,52.520000,52.520000,126700
2018-12-28,52.599998,52.880001,52.000000,52.549999,52.549999,157900
2018-12-31,52.480000,53.610001,52.380001,52.770000,52.770000,166700
2019-01-02,50.770000,51.959999,50.639999,51.959999,51.959999,139200
2019-01-03,51.500000,51.529999,51.070000,51.110001,51.110001,48300
2019-01-04,52.790001,53.980000,52.650002,53.889999,53.889999,71400
2019-01-07,53.889999,54.480000,53.799999,54.349998,54.349998,103300
2019-01-08,55.230000,55.299999,54.299999,54.720001,54.720001,79100
2019-01-09,56.689999,56.869999,56.009998,56.549999,56.549999,129900
2019-01-10,56.220001,57.099998,56.169998,57.049999,57.049999,47200
2019-01-11,55.990002,56.650002,55.700001,56.200001,56.200001,74700
2019-01-14,55.900002,56.750000,55.849998,56.639999,56.639999,54900
2019-01-15,56.430000,56.740002,56.189999,56.349998,56.349998,81400
2019-01-16,56.369999,56.959999,56.299999,56.689999,56.689999,74200
2019-01-17,55.630001,56.459999,55.509998,55.930000,55.930000,45000
2019-01-18,57.700001,58.099998,57.119999,57.950001,57.950001,55100
2019-01-22,57.259998,57.439999,57.049999,57.209999,57.209999,45600
2019-01-23,57.330002,57.430000,56.900002,57.189999,57.189999,37200
2019-01-24,57.480000,58.180000,57.330002,57.889999,57.889999,49600
2019-01-25,59.270000,60.099998,59.200001,59.869999,59.869999,62200
2019-01-28,59.529999,59.900002,59.439999,59.779999,59.779999,47100
2019-01-29,59.900002,59.939999,59.270000,59.410000,59.410000,24600
2019-01-30,59.090000,59.889999,58.950001,59.770000,59.770000,35500
2019-01-31,58.759998,59.490002,58.599998,59.330002,59.330002,43200
2019-02-01,60.459999,60.959999,60.279999,60.650002,60.650002,60100
2019-02-04,59.799999,59.919998,59.509998,59.810001,59.810001,45400
2019-02-05,59.990002,60.480000,59.799999,60.270000,60.270000,35500
2019-02-06,58.799999,59.220001,58.080002,58.869999,58.869999,92700
2019-02-07,56.759998,56.900002,55.689999,56.020000,56.020000,191000
2019-02-08,55.209999,55.320000,54.279999,54.709999,54.709999,135700
2019-02-11,54.080002,54.520000,54.040001,54.310001,54.310001,65400
2019-02-12,55.720001,56.189999,55.720001,56.070000,56.070000,60300
2019-02-13,56.310001,56.970001,56.230000,56.900002,56.900002,48800
2019-02-14,55.930000,56.200001,55.650002,56.000000,56.000000,41600
2019-02-15,56.880001,57.320000,56.730000,57.110001,57.110001,76400
